dates,campaign_id,campaign_name,campaign_start_date,creative_name,ad_id,total_spent,impressions,clicks,click_through_rate,leads,platform,ad_set_name,ad_set_id,is_total_spent_outlier,is_impressions_outlier,is_clicks_outlier,is_leads_outlier,cpl,cpc,day_of_week,month,conversion_rate,campaign_duration_days,platform_month
2024-10-28,120212285593820229,mba_tech_c-2_lead_gen-2_210924,2024-09-21,Drive_Innovation_Static_240924,120212341302630229,228.76,3950.0,8.0,0.0035443038,1.0,facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,False,False,False,False,228.76,28.595,Monday,October,0.125,37,facebook_october
2024-10-28,120212409143760229,mba_tech_c-2_lead_gen-3_260924,2024-09-26,1.2_Cr_Static_200924,120212409341690229,1626.23,18038.0,63.0,0.0051557821999999994,14.0,facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,False,False,False,True,116.15928571428572,25.813174603174602,Monday,October,0.2222222222222222,32,facebook_october
2024-10-28,120212409143760229,mba_tech_c-2_lead_gen-3_260924,2024-09-26,Regula_VS_Tech_Static_240924,120212409196250229,430.08,3216.0,13.0,0.0083955224,2.0,facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,False,False,False,False,215.04,33.08307692307692,Monday,October,0.15384615384615385,32,facebook_october
2024-10-28,120212409143760229,mba_tech_c-2_lead_gen-3_260924,2024-09-26,India's_First_Tech_MBA_Static_200924,120212409290100229,3688.19,52714.0,199.0,0.0052168304,12.0,facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,True,True,True,True,307.3491666666667,18.53361809045226,Monday,October,0.06030150753768844,32,facebook_october
2024-10-28,120212409143760229,mba_tech_c-2_lead_gen-3_260924,2024-09-26,Drive_Innovation_Static_240924,120212409232300229,258.77,2753.0,9.0,0.0069015618999999995,1.0,facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,False,False,False,False,258.77,28.75222222222222,Monday,October,0.1111111111111111,32,facebook_october
2024-10-28,120212409143760229,mba_tech_c-2_lead_gen-3_260924,2024-09-26,Transform_Ideas_Static_240924,120212409252830229,64.15,663.0,3.0,0.0075414780999999995,1.0,facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,False,False,False,False,64.15,21.383333333333336,Monday,October,0.3333333333333333,32,facebook_october
2024-10-27,120212285593820229,mba_tech_c-2_lead_gen-2_210924,2024-09-21,Regula_VS_Tech_Static_240924,120212341312480229,82.34,955.0,6.0,0.011518324600000001,1.0,facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,False,False,False,False,82.34,13.723333333333334,Sunday,October,0.16666666666666666,36,facebook_october
2024-10-27,120212285593820229,mba_tech_c-2_lead_gen-2_210924,2024-09-21,India's_First_Tech_MBA_Static_200924,120212285739390229,796.59,5109.0,32.0,0.0103738501,12.0,facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,False,False,False,True,66.38250000000001,24.8934375,Sunday,October,0.375,36,facebook_october
2024-10-27,120212285593820229,mba_tech_c-2_lead_gen-2_210924,2024-09-21,Transform_Ideas_Static_240924,120212341286500229,59.84,396.0,3.0,0.0075757576,1.0,facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,False,False,False,False,59.84,19.94666666666667,Sunday,October,0.3333333333333333,36,facebook_october
2024-10-27,120212285593820229,mba_tech_c-2_lead_gen-2_210924,2024-09-21,Drive_Innovation_Static_240924,120212341302630229,286.01,4203.0,13.0,0.0061860576,3.0,facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,False,False,False,False,95.33666666666666,22.00076923076923,Sunday,October,0.23076923076923078,36,facebook_october
2024-10-27,120212285593820229,mba_tech_c-2_lead_gen-2_210924,2024-09-21,1.2_Cr_Static_200924,120212285781150229,6895.88,77613.0,256.0,0.0050249314,50.0,facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,True,True,True,True,137.9176,26.93703125,Sunday,October,0.1953125,36,facebook_october
2024-10-27,120212409143760229,mba_tech_c-2_lead_gen-3_260924,2024-09-26,1.2_Cr_Static_200924,120212409341690229,769.57,8018.0,15.0,0.0038663008,4.0,facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,False,False,False,False,192.3925,51.30466666666667,Sunday,October,0.26666666666666666,31,facebook_october
2024-10-27,120212409143760229,mba_tech_c-2_lead_gen-3_260924,2024-09-26,Regula_VS_Tech_Static_240924,120212409196250229,390.5,2934.0,13.0,0.0088616224,4.0,facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,False,False,False,False,97.625,30.03846153846154,Sunday,October,0.3076923076923077,31,facebook_october
2024-10-27,120212409143760229,mba_tech_c-2_lead_gen-3_260924,2024-09-26,India's_First_Tech_MBA_Static_200924,120212409290100229,4373.32,54728.0,265.0,0.006705891,23.0,facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,True,True,True,True,190.14434782608694,16.503094339622642,Sunday,October,0.08679245283018867,31,facebook_october
2024-10-27,120212409143760229,mba_tech_c-2_lead_gen-3_260924,2024-09-26,Drive_Innovation_Static_240924,120212409232300229,392.6,3519.0,7.0,0.0045467462,2.0,facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,False,False,False,False,196.3,56.08571428571429,Sunday,October,0.2857142857142857,31,facebook_october
2024-10-26,120212285593820229,mba_tech_c-2_lead_gen-2_210924,2024-09-21,1.2_Cr_Static_200924,120212285781150229,6678.85,59092.0,205.0,0.0049414472,23.0,facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,True,True,True,True,290.3847826086957,32.579756097560974,Saturday,October,0.11219512195121951,35,facebook_october
2024-10-26,120212285593820229,mba_tech_c-2_lead_gen-2_210924,2024-09-21,Transform_Ideas_Static_240924,120212341286500229,35.92,338.0,2.0,0.011834319499999999,1.0,facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,False,False,False,False,35.92,17.96,Saturday,October,0.5,35,facebook_october
2024-10-26,120212409143760229,mba_tech_c-2_lead_gen-3_260924,2024-09-26,1.2_Cr_Static_200924,120212409341690229,612.18,6305.0,16.0,0.0038065028,3.0,facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,False,False,False,False,204.05999999999997,38.26125,Saturday,October,0.1875,30,facebook_october
2024-10-26,120212409143760229,mba_tech_c-2_lead_gen-3_260924,2024-09-26,Regula_VS_Tech_Static_240924,120212409196250229,599.15,4499.0,18.0,0.0077795066000000005,1.0,facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,False,False,False,False,599.15,33.28611111111111,Saturday,October,0.05555555555555555,30,facebook_october
2024-10-26,120212409143760229,mba_tech_c-2_lead_gen-3_260924,2024-09-26,India's_First_Tech_MBA_Static_200924,120212409290100229,3784.74,52958.0,218.0,0.0051927943,9.0,facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,True,True,True,False,420.52666666666664,17.361192660550458,Saturday,October,0.04128440366972477,30,facebook_october
2024-10-25,120212285593820229,mba_tech_c-2_lead_gen-2_210924,2024-09-21,1.2_Cr_Static_200924,120212285781150229,6804.08,74307.0,252.0,0.0047236465,28.0,facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,True,True,True,True,243.00285714285715,27.00031746031746,Friday,October,0.1111111111111111,34,facebook_october
2024-10-25,120212285593820229,mba_tech_c-2_lead_gen-2_210924,2024-09-21,Any_Function_Any_Field_Static_200924,120212285633300229,69.12,871.0,3.0,0.0068886338,1.0,facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,False,False,False,False,69.12,23.040000000000003,Friday,October,0.3333333333333333,34,facebook_october
2024-10-25,120212285593820229,mba_tech_c-2_lead_gen-2_210924,2024-09-21,India's_First_Tech_MBA_Static_200924,120212285739390229,584.53,3925.0,26.0,0.0086624204,1.0,facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,False,False,False,False,584.53,22.481923076923074,Friday,October,0.038461538461538464,34,facebook_october
2024-10-25,120212285593820229,mba_tech_c-2_lead_gen-2_210924,2024-09-21,Transform_Ideas_Static_240924,120212341286500229,52.2,409.0,2.0,0.0097799511,1.0,facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,False,False,False,False,52.2,26.1,Friday,October,0.5,34,facebook_october
2024-10-25,120212409143760229,mba_tech_c-2_lead_gen-3_260924,2024-09-26,1.2_Cr_Static_200924,120212409341690229,408.9,4678.0,18.0,0.0094057289,2.0,facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,False,False,False,False,204.45,22.716666666666665,Friday,October,0.1111111111111111,29,facebook_october
2024-10-25,120212409143760229,mba_tech_c-2_lead_gen-3_260924,2024-09-26,Regula_VS_Tech_Static_240924,120212409196250229,537.59,3169.0,10.0,0.0094667087,3.0,facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,False,False,False,False,179.1966666666667,53.759,Friday,October,0.3,29,facebook_october
2024-10-25,120212409143760229,mba_tech_c-2_lead_gen-3_260924,2024-09-26,India's_First_Tech_MBA_Static_200924,120212409290100229,4351.54,56213.0,254.0,0.0057460018,11.0,facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,True,True,True,True,395.5945454545454,17.132047244094487,Friday,October,0.04330708661417323,29,facebook_october
2024-10-25,120212409143760229,mba_tech_c-2_lead_gen-3_260924,2024-09-26,Drive_Innovation_Static_240924,120212409232300229,368.62,3884.0,9.0,0.005149330600000001,1.0,facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,False,False,False,False,368.62,40.95777777777778,Friday,October,0.1111111111111111,29,facebook_october
2024-10-24,120212285593820229,mba_tech_c-2_lead_gen-2_210924,2024-09-21,Regula_VS_Tech_Static_240924,120212341312480229,172.3,1749.0,5.0,0.0097198399,1.0,facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,False,False,False,False,172.3,34.46,Thursday,October,0.2,33,facebook_october
2024-11-13,350165056,mbatech_c2_leadgen-3_061124,2024-11-06,India's_First_Tech_MBA_Static-4_200924,560482046,10.41,2.0,0.0,0.0,0.0,linkedin,,,False,False,False,False,0.0,0.0,Wednesday,November,0.0,7,linkedin_november
2024-10-24,120212285593820229,mba_tech_c-2_lead_gen-2_210924,2024-09-21,Any_Function_Any_Field_Static_200924,120212285633300229,131.74,532.0,1.0,0.0037593985000000003,1.0,facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,False,False,False,False,131.74,131.74,Thursday,October,1.0,33,facebook_october
2024-10-24,120212285593820229,mba_tech_c-2_lead_gen-2_210924,2024-09-21,India's_First_Tech_MBA_Static_200924,120212285739390229,504.32,3526.0,26.0,0.0099262621,5.0,facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,False,False,False,False,100.864,19.396923076923077,Thursday,October,0.19230769230769232,33,facebook_october
